Club Name : WhaleClubGG
Club ID : 9997
Total Records : 17

Player,Player ID,Agent,Agent ID,Super Agent,Super Agent ID,Gross PL,Fee,Rebate Rate,Rebate,Tax,Tax Rate,Crypto Fee,Crypto Tax Rate,Referral Fee,Final PL
yessirrr,7667-6738,-,-,BPDmanager,4355-4477,-190.67,16.49,80.00,13.52,17.72,10.00,0.00,0.00,0.00,-159.43
sage135,5810-5354,-,-,Look,3866-2681,-337.24,78.41,82.00,64.30,27.29,10.00,0.00,0.00,0.00,-245.65
plaso21,2916-6891,pedrocruz,5492-8898,Tyler Durdn,6949-7760,314.54,48.50,82.00,39.77,-35.43,10.00,0.00,0.00,0.00,318.88
nba_player,3903-5443,nba_player,3903-5443,Look,3866-2681,-8.40,0.16,82.00,0.13,0.83,10.00,0.00,0.00,0.00,-7.44
moisturised,3591-9425,moisturised,3591-9425,Look,3866-2681,15494.57,763.47,82.00,626.05,-1612.06,10.00,0.00,0.00,0.00,14508.56
hendoCali,6646-0123,-,-,Look,3866-2681,-193.22,9.90,82.00,8.12,18.51,10.00,0.00,0.00,0.00,-166.59
gembitcall,3312-1123,wildtierjake,6834-5782,Tyler Durdn,6949-7760,-217.00,27.00,82.00,22.14,19.49,10.00,0.00,0.00,0.00,-175.37
freezermaster,2019-3126,freezermaster,2019-3126,Look,3866-2681,1825.95,445.41,82.00,365.24,-219.12,10.00,0.00,0.00,0.00,1972.07
franzmeyer0,6923-0171,wildtierjake,6834-5782,Tyler Durdn,6949-7760,411.89,6.00,82.00,4.92,-41.68,10.00,0.00,0.00,0.00,375.13
ZoozooXX,5877-1260,-,-,BPDmanager,4355-4477,-5367.34,208.09,80.00,170.63,519.67,10.00,0.00,0.00,0.00,-4677.04
Tyler Durdn,6949-7760,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Seediq Bale,1254-4522,-,-,Look,3866-2681,-94.35,10.33,82.00,8.47,8.59,10.00,0.00,0.00,0.00,-77.29
Look,3866-2681,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Epict0ss,1582-2621,Epict0ss,1582-2621,Look,3866-2681,-38.59,45.18,82.00,37.05,0.15,10.00,0.00,0.00,0.00,-1.39
Djingibi,9297-5184,Djingibi,9297-5184,Tyler Durdn,6949-7760,-866.59,176.58,82.00,144.80,72.18,10.00,0.00,0.00,0.00,-649.61
Binxxx,5064-7767,Binxxx,5064-7767,Look,3866-2681,174.69,174.97,82.00,143.48,-31.82,10.00,0.00,0.00,0.00,286.35
BPDmanager,4355-4477,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Total,-,-,-,-,-,10908.24,2010.49,-,1648.62,-1255.68,-,0.0,-,0.0,11301.18
